beta,gamma,rho,sigma,b0,q0
-1.0,0.7,-0.5,0.0,0.3,0.5
-1.0,0.7,-0.5,0.0,0.3,0.5
-0.9,0.6939,-0.6,0.157727762818,0.3,0.5
-0.9,0.6939,-0.5,-0.0304398794974,0.3,0.5
-0.9,0.6939,-0.5,-0.0304398794974,0.3,0.5
-0.9,0.6939,-0.5,-0.0304398794974,0.3,0.5
-0.8,0.6304,-0.5,0.341918945312,0.3,0.5
-0.8,0.6304,-0.5,0.341918945312,0.3,0.5
-0.7,0.5299,-0.4,0.943883925915,0.3,0.5
-0.7,0.5299,-0.4,0.943883925915,0.3,0.5
-0.6,0.4104,-0.3,2.07407407407,0.3,0.5
-0.5,0.2875,-0.2,2.2,0.3,0.5
-0.5,0.2875,-0.2,2.2,0.3,0.5
-1.0,0.7,-0.5,-0.1,0.3,0.6
-1.0,0.7,-0.5,-0.1,0.3,0.6
-0.9,0.6939,-0.6,-0.0116231152659,0.3,0.6
-0.9,0.6939,-0.6,-0.0116231152659,0.3,0.6
-0.8,0.6304,-0.5,0.0367431640625,0.3,0.6
-0.8,0.6304,-0.5,0.0367431640625,0.3,0.6
-0.7,0.5299,-0.4,0.348893743253,0.3,0.6
-0.7,0.5299,-0.4,0.348893743253,0.3,0.6
-0.6,0.4104,-0.3,0.788065843621,0.3,0.6
-0.6,0.4104,-0.3,0.788065843621,0.3,0.6
-1.0,0.6,-0.4,0.3,0.4,0.1
-1.0,0.6,-0.3,0.2,0.4,0.1
-1.0,0.6,-0.3,0.2,0.4,0.1
-1.0,0.6,-0.3,0.2,0.4,0.1
-0.9,0.6039,-0.4,0.362265990016,0.4,0.1
-0.9,0.6039,-0.4,0.362265990016,0.4,0.1
-0.8,0.5504,-0.4,0.8515625,0.4,0.1
-0.8,0.5504,-0.3,0.470092773437,0.4,0.1
-0.8,0.5504,-0.3,0.470092773437,0.4,0.1
-0.8,0.5504,-0.3,0.470092773437,0.4,0.1
-0.7,0.4599,-0.3,1.56352370186,0.4,0.1
-0.7,0.4599,-0.3,1.56352370186,0.4,0.1
-0.6,0.3504,-0.2,2.60562414266,0.4,0.1
-0.6,0.3504,-0.2,2.60562414266,0.4,0.1
-0.5,0.2375,-0.1,1.4,0.4,0.1
-0.5,0.2375,-0.1,1.4,0.4,0.1
-1.0,0.6,-0.4,0.2,0.4,0.2
-1.0,0.6,-0.4,0.2,0.4,0.2
-0.9,0.6039,-0.4,0.192915111932,0.4,0.2
-0.9,0.6039,-0.4,0.192915111932,0.4,0.2
-0.8,0.5504,-0.4,0.54638671875,0.4,0.2
-0.7,0.4599,-0.3,0.968533519197,0.4,0.2
-0.7,0.4599,-0.3,0.968533519197,0.4,0.2
-0.6,0.3504,-0.2,1.31961591221,0.4,0.2
-0.6,0.3504,-0.2,1.31961591221,0.4,0.2
-1.0,0.6,-0.4,0.1,0.4,0.3
-1.0,0.6,-0.4,0.1,0.4,0.3
-0.9,0.6039,-0.4,0.0235642338472,0.4,0.3
-0.9,0.6039,-0.4,0.0235642338472,0.4,0.3
-0.8,0.5504,-0.4,0.2412109375,0.4,0.3
-0.7,0.4599,-0.3,0.373543336535,0.4,0.3
-0.7,0.4599,-0.3,0.373543336535,0.4,0.3
-0.6,0.3504,-0.2,0.0336076817558,0.4,0.3
-0.6,0.3504,-0.2,0.0336076817558,0.4,0.3
-0.6,0.3504,-0.2,0.0336076817558,0.4,0.3
-1.0,0.6,-0.4,-1.11022302463e-16,0.4,0.4
-1.0,0.6,-0.4,-1.11022302463e-16,0.4,0.4
-0.9,0.6039,-0.4,-0.145786644237,0.4,0.4
-0.9,0.6039,-0.4,-0.145786644237,0.4,0.4
-0.8,0.5504,-0.4,-0.06396484375,0.4,0.4
-0.8,0.5504,-0.4,-0.06396484375,0.4,0.4
-0.7,0.4599,-0.3,-0.221446846127,0.4,0.4
-0.7,0.4599,-0.3,-0.221446846127,0.4,0.4
-1.0,0.6,-0.4,-0.1,0.4,0.5
-1.0,0.6,-0.4,-0.1,0.4,0.5
-1.0,0.5,-0.2,0.1,0.5,0.1
-1.0,0.5,-0.2,0.1,0.5,0.1
-1.0,0.5,-0.2,0.1,0.5,0.1
-0.9,0.5139,-0.3,0.0775683471919,0.5,0.1
-0.8,0.4704,-0.3,0.140502929687,0.5,0.1
-0.8,0.4704,-0.3,0.140502929687,0.5,0.1
-0.7,0.3899,-0.2,-0.196797252845,0.5,0.1
-0.7,0.3899,-0.2,-0.196797252845,0.5,0.1
-1.0,0.5,-0.3,0.1,0.5,0.2
-1.0,0.5,-0.2,-5.55111512313e-17,0.5,0.2
-1.0,0.5,-0.2,-5.55111512313e-17,0.5,0.2
-1.0,0.5,-0.2,-5.55111512313e-17,0.5,0.2
-0.9,0.5139,-0.3,-0.0917825308924,0.5,0.2
-0.9,0.5139,-0.3,-0.0917825308924,0.5,0.2
-0.8,0.4704,-0.3,-0.164672851563,0.5,0.2
-0.8,0.4704,-0.3,-0.164672851563,0.5,0.2
-1.0,0.5,-0.3,-1.11022302463e-16,0.5,0.3
-1.0,0.5,-0.3,-0.1,0.5,0.4
