beta,gamma,rho,sigma
-0.3,0.1719,0.2,-502.624142661
-0.3,0.1719,0.2,-543.776406036
-0.3,0.1719,0.2,-584.92866941
-0.3,0.1719,0.2,-626.080932785
-0.3,0.1719,0.2,-667.233196159
-0.3,0.1419,0.2,-121.14266118
-0.3,0.1419,0.2,-121.14266118
-0.3,0.1419,0.2,-162.294924554
-0.3,0.1419,0.2,-162.294924554
-0.3,0.1419,0.2,-203.447187929
-0.3,0.1419,0.2,-203.447187929
-0.3,0.1419,0.2,-244.599451303
-0.3,0.1419,0.2,-285.751714678
-0.3,0.1419,0.2,-326.903978052
-0.3,0.1419,0.2,-368.056241427
-0.3,0.1419,0.2,-409.208504801
-0.3,0.1419,0.2,-450.360768176
-0.3,0.1419,0.2,-491.51303155
-0.3,0.1419,0.2,-532.665294925
-0.3,0.1419,0.2,-573.817558299
-0.3,0.1419,0.2,-614.969821674
-0.3,0.1119,0.2,-603.858710562
-0.3,0.1119,0.2,-645.010973937
-0.3,0.1119,0.2,-686.163237311
-0.3,0.1119,0.2,-727.315500686
-0.3,0.1719,0.3,-392.884773663
-0.3,0.1719,0.3,-392.884773663
-0.3,0.1719,0.3,-434.037037037
-0.3,0.1719,0.3,-434.037037037
-0.3,0.1719,0.3,-475.189300412
-0.3,0.1719,0.3,-475.189300412
-0.3,0.1719,0.3,-516.341563786
-0.3,0.1719,0.3,-516.341563786
-0.3,0.1719,0.3,-557.49382716
-0.3,0.1719,0.3,-557.49382716
-0.3,0.1719,0.3,-598.646090535
-0.3,0.1719,0.3,-598.646090535
-0.3,0.1719,0.3,-639.798353909
-0.3,0.1719,0.3,-639.798353909
-0.3,0.1719,0.3,-680.950617284
-0.3,0.1719,0.3,-680.950617284
-0.3,0.1719,0.3,-722.102880658
-0.3,0.1719,0.3,-722.102880658
-0.3,0.1719,0.3,-763.255144033
-0.3,0.1719,0.3,-763.255144033
-0.3,0.1719,0.3,-804.407407407
-0.3,0.1719,0.3,-804.407407407
-0.3,0.1719,0.3,-845.559670782
-0.3,0.1719,0.3,-845.559670782
-0.3,0.1719,0.3,-886.711934156
-0.3,0.1719,0.3,-886.711934156
-0.3,0.1719,0.3,-927.864197531
-0.2,0.0784,0.1,-459.5
-0.2,0.0784,0.1,-459.5
-0.2,0.0784,0.1,-772.0
-0.2,0.0784,0.1,-772.0
-0.2,0.0784,0.1,-1084.5
-0.2,0.0784,0.1,-1084.5
-0.2,0.0784,0.1,-1397.0
-0.2,0.0784,0.1,-1397.0
-0.2,0.0784,0.1,-1709.5
-0.2,0.0784,0.1,-2022.0
-0.2,0.0784,0.1,-2334.5
-0.2,0.0784,0.1,-2647.0
-0.2,0.0784,0.1,-2959.5
-0.2,0.0784,0.1,-3272.0
-0.2,0.0784,0.1,-3584.5
-0.2,0.0784,0.1,-3897.0
-0.2,0.0784,0.1,-4209.5
-0.2,0.0784,0.1,-4522.0
-0.2,0.0584,0.1,-1359.5
-0.2,0.0584,0.1,-1672.0
-0.2,0.0584,0.1,-1984.5
-0.2,0.0584,0.1,-2297.0
-0.2,0.0584,0.1,-2609.5
-0.2,0.0584,0.1,-2922.0
-0.2,0.0584,0.1,-3234.5
-0.2,0.0584,0.1,-3547.0
-0.2,0.0584,0.1,-3859.5
-0.2,0.0584,0.1,-4172.0
-0.2,0.0584,0.1,-4484.5
-0.2,0.0584,0.1,-4797.0
-0.2,0.0584,0.1,-5109.5
-0.2,0.0584,0.1,-5422.0
-0.2,0.0584,0.1,-5734.5
-0.1,0.0199,0.0,-597.0
